Gene	Genotype	Num_of_specific_kmers
rl5a	G6	74
rl5a	G5	175
rl5a	G4	216
rl5a	G3	173
rl5a	G2	285
rl5a	G1	5
rl6	G7	214
rl6	G6	281
rl6	G5	4
rl6	G4	191
rl6	G3	109
rl6	G2	29
rl6	G1	62
rl12	G7	385
rl12	G6	198
rl12	G5	1148
rl12	G3	807
rl12	G2	914
rl12	G4A	591
rl12	G1B	336
rl12	G1A	272
rl12	G8	844
rl12	G9	838
rl12	G4B	442
rl12	G10	703
rl13	G7	445
rl13	G6	257
rl13	G5	757
rl13	G3	690
rl13	G2	670
rl13	G1	235
rl13	G4A	376
rl13	G4B	165
rl13	G9	658
rl13	G8	512
rl13	G10	495
ul1	G7	449
ul1	G6	118
ul1	G5	420
ul1	G4	97
ul1	G3	340
ul1	G2	512
ul1	G1	147
ul1	G9	369
ul1	G8	381
ul1	G10	255
ul9	G7	394
ul9	G6	43
ul9	G5	380
ul9	G4	117
ul9	G3	503
ul9	G2	149
ul9	G1	52
ul9	G9	78
ul9	G8	343
ul11	G7	106
ul11	G6	110
ul11	G5	259
ul11	G4	228
ul11	G3	190
ul11	G2	405
ul11	G1	59
ul20	G7	153
ul20	G6	203
ul20	G5	135
ul20	G4	255
ul20	G3	66
ul20	G2	14
ul20	G1	112
ul73	G4A	63
ul73	G4B	60
ul73	G4C	1
ul73	G4D	12
ul73	G2	108
ul73	G1	66
ul73	G3A	44
ul73	G3B	151
ul74	G5	633
ul74	G4	585
ul74	G3	460
ul74	G1C	205
ul74	G1B	426
ul74	G1A	170
ul74	G2B	480
ul74	G2A	424
ul120	G4A	107
ul120	G4B	98
ul120	G1B	255
ul120	G1A	75
ul120	G3A	230
ul120	G3B	128
ul120	G2B	195
ul120	G2A	62
ul139	G7	49
ul139	G6	80
ul139	G5	91
ul139	G4	17
ul139	G3	78
ul139	G2	18
ul139	G1B	22
ul139	G1A	34
ul139	G8	63
ul146	G7	80
ul146	G6	277
ul146	G5	265
ul146	G4	311
ul146	G3	245
ul146	G2	288
ul146	G1	123
ul146	G9	94
ul146	G8	196
ul146	G14	286
ul146	G13	140
ul146	G12	60
ul146	G11	164
ul146	G10	216
